Date;AAPL US Equity > Net Debt;AAPL US Equity > Operating Profit (EBIT);AAPL US Equity > EBITDA;AAPL US Equity > Enterprise Value;AAPL US Equity > Earnings per Share;AAPL US Equity > Last Price;AAPL US Equity > Free Cash Flow
12/31/2015;-1,53E+11;24171000000;27125000000;4,46E+11;0,82;26,315;23851000000
03/31/2016;-1,53E+11;13987000000;16464000000;4,52E+11;0,475;27,2475;9265000000
06/30/2016;-1,47E+11;10105000000;12631000000;3,71E+11;0,355;23,9;7825000000
09/30/2016;-1,51E+11;11761000000;14309000000;4,63E+11;0,4162345;28,2625;12556000000
12/31/2016;-1,59E+11;23359000000;26346000000;4,67E+11;0,8409455;28,955;23900000000
03/31/2017;-1,58E+11;14097000000;16429000000;5,95E+11;0,52438225;35,915;9370000000
06/30/2017;-1,53E+11;10768000000;13122000000;5,93E+11;0,4160095;36,005;6746000000
09/30/2017;-1,53E+11;13120000000;15604000000;6,43E+11;0,495493;38,53;11884000000
12/31/2017;-1,63E+11;26274000000;29019000000;7,08E+11;0,96884525;42,3075;25483000000
03/31/2018;-1,45E+11;15894000000;21378000000;6,89E+11;0,68390275;41,945;10935000000
06/30/2018;-1,29E+11;12612000000;15277000000;7,64E+11;0,57678175;46,2775;11221000000
09/30/2018;-1,23E+11;16118000000;18872000000;9,61E+11;0,7286815;56,435;16482000000
12/31/2018;-1,30E+11;23346000000;26741000000;6,26E+11;1,04694475;39,435;23335000000
03/31/2019;-1,13E+11;13415000000;16455000000;7,65E+11;0,6165545;47,4875;8792000000
06/30/2019;-1,02E+11;11544000000;17517000000;7,98E+11;0,54379825;49,48;9636000000
09/30/2019;-97851000000;15625000000;18804000000;9,10E+11;0,7589515;55,9925;17133000000
12/31/2019;-90310000000;25569000000;28385000000;1,21E+12;0,3125;73,4125;28409000000
03/31/2020;-74083000000;12853000000;15639000000;1,02E+12;0,641659;63,5725;11458000000
06/30/2020;-71431000000;13091000000;15843000000;1,51E+12;0,644365;91,2;14706000000
09/30/2020;-69552000000;14775000000;17477000000;1,91E+12;0,725788;115,81;18792000000
12/31/2020;-83528000000;33534000000;36200000000;2,19E+12;1,674553;132,69;35263000000
03/31/2021;-82728000000;27503000000;30300000000;1,97E+12;1,39552;122,15;56975000000
06/30/2021;-71853000000;24126000000;26958000000;2,20E+12;1,3;136,96;75976000000
09/30/2021;-53994000000;23786000000;26775000000;2,27E+12;1,24;141,5;16977000000
12/31/2021;-79798000000;41488000000;44185000000;2,86E+12;2,1;177,57;44163000000
03/31/2022;-72749000000;29979000000;32716000000;2,77E+12;1,52;174,61;25652000000
06/30/2022;-59617000000;23076000000;25881000000;2,14E+12;1,2;136,72;20790000000
09/30/2022;-36629000000;24894000000;27759000000;2,16E+12;1,29;138,2;20838000000
12/31/2022;-54340000000;36016000000;38932000000;2,03E+12;1,88;129,93;30218000000
03/31/2023;-56718000000;28318000000;31216000000;2,55E+12;1,52;164,9;25644000000
06/30/2023;-57263000000;22998000000;26050000000;2,99E+12;1,26;193,97;24287000000
09/30/2023;-38169000000;26969000000;29622000000;2,62E+12;1,46;171,21;19435000000
12/31/2023;-64535000000;40373000000;43221000000;2,96E+12;2,18;192,53;37503000000
03/31/2024;-57747000000;27900000000;30736000000;2,58E+12;1,53;171,48;20694000000
06/30/2024;-51737000000;25352000000;28202000000;3,17E+12;1,4;210,62;26707000000
09/30/2024;-37591000000;29591000000;32502000000;3,49E+12;1,642184;233;23903000000
12/31/2024;-44569000000;42832000000;45912000000;3,75E+12;2,4;250,42;26995000000
03/31/2025;-34736000000;29589000000;32250000000;3,29E+12;1,65;222,13;20881000000
06/30/2025;-31288000000;28202000000;31032000000;3,03E+12;1,57;205,17;24405000000
09/30/2025;-47475700000;31676297297;34497650000;3,75E+12;1,774358974;254,63;37042774456
