Date;Net Income, Adj;Net Debt;Operating Profit (EBIT);EBITDA;Enterprise Value;Earnings per Share;Free Cash Flow
12/31/2015;43178000;60647000;59894000;111242000;48675028911;0,1;-276136000
03/31/2016;27658000;299747000;49453000;106673000;43823388820;0,06;-260578000
06/30/2016;40755000;538857000;70370000;130063000;39480521005;0,09;-254124000
09/30/2016;51517000;1030710000;106036000;163941000;42789745449;0,12;-506431000
12/31/2016;66748000;1630529000;153934000;211769000;54158863418;0,15;-638622000
03/31/2017;178222000;2024202000;256942000;316879000;65249666203;0,4;-422520000
06/30/2017;65600000;2671600000;127807000;190386000;66420575231;0,15;-608447000
09/30/2017;129590000;3142314000;208627000;272628000;80969416074;0,29;-464894000
12/31/2017;185517000;3676637000;245303000;312906000;86209381715;0,438116;-523798000
03/31/2018;290124000;3948707000;446578000;534014000;1,32E+11;0,64;-286509000
06/30/2018;384349000;4435710000;462213000;563181000;1,74E+11;0,85;-558555000
09/30/2018;402835000;5269052000;480668000;584145000;1,67E+11;0,89;-859105000
12/31/2018;133934000;6565575000;215767000;327700000;1,22E+11;0,3;-1315430000
03/31/2019;344052000;7843988000;459084000;583845000;1,62E+11;0,76;-459902000
06/30/2019;270650000;8673870000;706419000;835763000;1,68E+11;0,6;-593790000
09/30/2019;665244000;9104347000;980239000;1107205000;1,26E+11;1,47;-551148000
12/31/2019;586970000;11354057000;458512000;586396000;1,51E+11;1,3;-1669546000
03/31/2020;709067000;11113617000;958256000;1083792000;1,76E+11;1,407528;161609000
06/30/2020;720196000;10554911000;1357928000;1488799000;2,11E+11;1,797376;899075000
09/30/2020;789976000;9744742000;1314863000;1449809000;2,31E+11;2,172583;1145110000
12/31/2020;542156000;10305276000;954242000;1165257000;2,49E+11;1,756681;-284071000
03/31/2021;1706715000;9335614000;1959856000;2102827000;2,41E+11;3,310771;691650000
06/30/2021;1353013000;10165594000;1847630000;1987647000;2,44E+11;3,079482;-175039000
09/30/2021;1449071000;10479927000;1755253000;1805888000;2,80E+11;2,952982;-106252000
12/31/2021;607429000;12088766000;631770000;695754000;2,77E+11;1,558173;-569253000
03/31/2022;1597447000;11290629000;1971626000;2165437000;1,78E+11;3,247786;801681000
06/30/2022;1440951000;11089608000;1578283000;1812180000;88980797150;2,928846;12732000
09/30/2022;1398242000;10318448000;1578000000;1770268000;1,16E+11;2,48873;471850000
12/31/2022;55284000;10873112000;549904000;797080000;1,42E+11;0,927547;332265000
03/31/2023;1305120000;9128343000;1714317000;1903751000;1,65E+11;2,88;2116721000
06/30/2023;1487610000;8416702000;1827000000;1994415000;2,05E+11;3,354114;1339260000
09/30/2023;1677422000;8896802000;1916000000;2086774000;1,76E+11;3,426862;1888386000
12/31/2023;937838000;9835488000;1496109000;1582676000;2,22E+11;2,535628;1581382000
03/31/2024;2332209000;9465867000;2633000000;2796113000;2,73E+11;5,046032;2136808000
06/30/2024;2147306000;9868282000;2602837000;2684064000;3,00E+11;4,803303;1212560000
09/30/2024;2363509000;9284721000;2909000000;3056041000;3,14E+11;5,589083;2194238000
12/31/2024;1868607000;8411235000;2272766000;2414132000;3,90E+11;4,174621;1378220000
03/31/2025;2890351000;9052497000;3346999000;3499043000;4,07E+11;6,661611;2660922000
06/30/2025;3125413000;8543447000;3774694000;3854707000;5,79E+11;7,290344;2267369000
09/30/2025;2546916000;7759146000;3248000000;3335573000;5,18E+11;5,866893;2660455000
